#"No.","Time","Source","Destination","Protocol","Length","Info"
"85","4.695999","136.186.229.110","136.186.230.189","HTTP","537","GET /bunny_3840360bps/BigBuckBunny_2s1.m4s HTTP/1.1 "
"775","9.303875","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s18.m4s HTTP/1.1 "
"1393","11.524302","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s19.m4s HTTP/1.1 "
"1945","13.104826","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s20.m4s HTTP/1.1 "
"2500","15.461279","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s21.m4s HTTP/1.1 "
"2932","16.951217","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s22.m4s HTTP/1.1 "
"3684","18.968404","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s23.m4s HTTP/1.1 "
"4260","21.051903","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s24.m4s HTTP/1.1 "
"4797","23.147101","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s25.m4s HTTP/1.1 "
"5677","25.311552","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s26.m4s HTTP/1.1 "
"6415","27.419454","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s27.m4s HTTP/1.1 "
"7053","29.539747","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s28.m4s HTTP/1.1 "
"7993","31.717554","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s29.m4s HTTP/1.1 "
"8208","33.751993","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s30.m4s HTTP/1.1 "
"8381","34.980746","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s31.m4s HTTP/1.1 "
"8652","37.020821","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s32.m4s HTTP/1.1 "
"8996","39.174492","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s33.m4s HTTP/1.1 "
"9361","41.185674","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s34.m4s HTTP/1.1 "
"9869","43.220138","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s35.m4s HTTP/1.1 "
"10245","45.394032","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s36.m4s HTTP/1.1 "
"10539","47.413015","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s37.m4s HTTP/1.1 "
"10840","49.475333","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s38.m4s HTTP/1.1 "
"11443","51.487719","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s39.m4s HTTP/1.1 "
"12449","53.294868","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s40.m4s HTTP/1.1 "
"13551","55.801959","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s41.m4s HTTP/1.1 "
"13985","57.109634","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s42.m4s HTTP/1.1 "
"15340","59.452802","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s43.m4s HTTP/1.1 "
"15523","61.692135","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s44.m4s HTTP/1.1 "
"15769","63.972291","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s45.m4s HTTP/1.1 "
"16023","65.164057","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s46.m4s HTTP/1.1 "
"16386","66.979530","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s47.m4s HTTP/1.1 "
"16581","69.375534","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s48.m4s HTTP/1.1 "
"16818","71.288807","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s49.m4s HTTP/1.1 "
"17082","73.344566","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s50.m4s HTTP/1.1 "
"17329","75.008660","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s51.m4s HTTP/1.1 "
"18098","77.122977","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s52.m4s HTTP/1.1 "
"18469","79.422716","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s53.m4s HTTP/1.1 "
"18733","81.457269","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s54.m4s HTTP/1.1 "
"18988","83.500121","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s55.m4s HTTP/1.1 "
"19232","85.475806","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s56.m4s HTTP/1.1 "
"19487","87.453796","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s57.m4s HTTP/1.1 "
"19978","89.561138","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s58.m4s HTTP/1.1 "
